id_ticket,cantidad,producto,precio,total_producto
06WB1Z,1,Pan Baguette,29.5,29.5
06WB1Z,2,Refresco 2L,33.76,67.52
06WB1Z,3,Licuadora,777.8,2333.39
06WB1Z,1,Refresco 2L,36.18,36.18
06WB1Z,1,Licuadora,793.1,793.1
06WB1Z,1,Pollo 1kg,124.47,124.47
06WB1Z,3,Refresco 2L,34.31,102.94
09PTL6,2,Huevos 12pz,83.49,166.97
09PTL6,3,Licuadora,830.28,2490.83
09PTL6,1,Leche 1L,24.01,24.01
09PTL6,3,Detergente 2kg,92.94,278.81
09PTL6,1,Licuadora,815.36,815.36
09PTL6,1,Sartén antiadherente,352.84,352.84
09PTL6,3,Sartén antiadherente,345.39,1036.16
09PTL6,3,Leche 1L,24.16,72.48
09PTL6,3,Arroz 1kg,40.16,120.49
09PTL6,3,Huevos 12pz,83.31,249.92
0AV6UQ,2,Huevos 12pz,82.26,164.53
0AV6UQ,1,Audífonos,1444.61,1444.61
0AV6UQ,6,Arroz 1kg,38.28,229.67
0AV6UQ,2,Pan Baguette,31.09,62.18
0AV6UQ,3,Huevos 12pz,80.33,240.98
0AV6UQ,1,Sartén antiadherente,353.82,353.82
0AV6UQ,2,Sartén antiadherente,361.71,723.43
0AV6UQ,3,Pollo 1kg,114.89,344.67
0AV6UQ,3,Huevos 12pz,81.52,244.56
0AV6UQ,2,Licuadora,777.5,1555.01
0AV6UQ,3,Detergente 2kg,87.68,263.05
0BZHF6,18,Celular básico,4984.97,89729.52
0BZHF6,4,Detergente 2kg,90.76,363.05
0C1I2C,2,Detergente 2kg,89.05,178.09
0C1I2C,3,Refresco 2L,36.13,108.38
0C1I2C,1,Pan Baguette,28.98,28.98
0C1I2C,2,Licuadora,832.85,1665.71
0C1I2C,2,Pan Baguette,30.02,60.03
0C1I2C,3,Licuadora,786.06,2358.17
0C1I2C,2,Pan Baguette,29.95,59.9
0C1I2C,1,Licuadora,811.77,811.77
0C1I2C,1,Sartén antiadherente,351.67,351.67
0C1I2C,1,Pollo 1kg,115.06,115.06
0C1I2C,3,Detergente 2kg,92.69,278.06
0C1I2C,2,Arroz 1kg,39.68,79.36
0C1I2C,1,Leche 1L,25.77,25.77
0CU5QI,3,Pan Baguette,30.69,92.06
0CU5QI,2,Detergente 2kg,86.53,173.06
0CU5QI,2,Pan Baguette,30.89,61.77
0CU5QI,3,Sartén antiadherente,347.98,1043.93
0CU5QI,3,Detergente 2kg,88.5,265.51
0CU5QI,2,Leche 1L,25.5,51.0
0CU5QI,2,Pollo 1kg,118.61,237.21
0CU5QI,2,Sartén antiadherente,355.31,710.62
0CU5QI,3,Licuadora,760.79,2282.37
0CU5QI,2,Refresco 2L,33.75,67.51
0EUVM2,2,Arroz 1kg,39.65,79.3
0EUVM2,3,Arroz 1kg,39.54,118.61
0EUVM2,6,Arroz 1kg,1.04,6.26
0EUVM2,6,Celular básico,5248.55,31491.3
0EUVM2,3,Audífonos,2323.32,6969.97
0EUVM2,3,Leche 1L,26.18,78.55
0FHWEB,1,Arroz 1kg,39.39,39.39
0FHWEB,2,Sartén antiadherente,362.36,724.73
0FHWEB,3,Pollo 1kg,125.7,377.11
0FHWEB,1,Sartén antiadherente,336.68,336.68
0FHWEB,2,Arroz 1kg,40.21,80.43
0FHWEB,2,Pollo 1kg,120.09,240.18
0FHWEB,3,Pollo 1kg,124.47,373.4
0FHWEB,3,Huevos 12pz,78.67,236.01
0FHWEB,3,Licuadora,809.26,2427.77
0FHWEB,1,Arroz 1kg,40.43,40.43
0FHWEB,2,Pollo 1kg,118.42,236.83
0FHWEB,3,Pan Baguette,31.47,94.41
0FLXM2,1,Arroz 1kg,40.46,40.46
0FLXM2,1,Huevos 12pz,83.9,83.9
0FLXM2,3,Licuadora,789.63,2368.89
0FLXM2,1,Pollo 1kg,124.23,124.23
0FLXM2,1,Refresco 2L,36.3,36.3
0FLXM2,2,Leche 1L,25.59,51.19
0FLXM2,2,Huevos 12pz,81.37,162.74
0FLXM2,2,Huevos 12pz,79.64,159.28
0FLXM2,3,Licuadora,833.34,2500.01
0FLXM2,2,Refresco 2L,35.95,71.9
0FLXM2,3,Detergente 2kg,92.83,278.49
0IJIA3,3,Refresco 2L,36.0,107.99
0IJIA3,1,Pan Baguette,29.25,29.25
0IJIA3,3,Detergente 2kg,86.9,260.7
0IJIA3,2,Detergente 2kg,88.09,176.17
0IJIA3,1,Pollo 1kg,116.66,116.66
0IJIA3,1,Arroz 1kg,39.74,39.74
0IJIA3,1,Licuadora,779.35,779.35
0IJIA3,1,Refresco 2L,35.77,35.77
0IJIA3,2,Arroz 1kg,38.32,76.63
0IJIA3,3,Leche 1L,24.39,73.18
0IJIA3,2,Audífonos,1513.74,3027.47
0IJIA3,3,Refresco 2L,36.45,109.35
0IRYP2,3,Detergente 2kg,91.92,275.77
0IRYP2,1,Licuadora,781.59,781.59
0IRYP2,1,Sartén antiadherente,360.77,360.77
0IRYP2,3,Arroz 1kg,41.45,124.35
0IRYP2,2,Huevos 12pz,81.91,163.82
0IRYP2,3,Sartén antiadherente,353.91,1061.74
0IRYP2,3,Leche 1L,24.7,74.11
0IRYP2,1,Arroz 1kg,41.09,41.09
0IRYP2,1,Detergente 2kg,87.53,87.53
0IRYP2,2,Licuadora,809.69,1619.37
0IRYP2,1,Pan Baguette,29.29,29.29
0IRYP2,2,Arroz 1kg,41.77,83.53
0IRYP2,3,Sartén antiadherente,339.59,1018.78
0IRYP2,1,Huevos 12pz,82.23,82.23
0JCB09,1,Pollo 1kg,124.88,124.88
0JCB09,2,Huevos 12pz,78.76,157.51
0JCB09,3,Detergente 2kg,87.91,263.73
0JCB09,3,Leche 1L,25.33,76.0
0JCB09,1,Pan Baguette,30.78,30.78
0JCB09,3,Arroz 1kg,38.86,116.59
0JCB09,2,Audífonos,1521.63,3043.27
0JCB09,2,Huevos 12pz,77.56,155.11
0JCB09,1,Refresco 2L,35.56,35.56
0JCB09,3,Licuadora,764.58,2293.74
0JCB09,1,Leche 1L,25.55,25.55
0JCB09,2,Refresco 2L,35.18,70.36
0JPPWW,3,Pan Baguette,29.7,89.1
0JPPWW,3,Leche 1L,25.31,75.93
0JPPWW,1,Pollo 1kg,124.57,124.57
0JPPWW,2,Licuadora,826.37,1652.75
0JPPWW,1,Pollo 1kg,121.8,121.8
0JPPWW,3,Refresco 2L,35.96,107.88
0JPPWW,3,Sartén antiadherente,366.21,1098.64
0JPPWW,2,Arroz 1kg,41.05,82.11
0JPPWW,3,Refresco 2L,34.03,102.09
0JPPWW,1,Audífonos,1495.67,1495.67
0LXQMR,1,Sartén antiadherente,355.69,355.69
0LXQMR,3,Pan Baguette,29.55,88.65
0LXQMR,1,Arroz 1kg,38.94,38.94
0LXQMR,2,Detergente 2kg,92.33,184.66
0LXQMR,1,Leche 1L,24.41,24.41
0LXQMR,1,Refresco 2L,35.39,35.39
0LXQMR,1,Licuadora,770.47,770.47
0LXQMR,3,Arroz 1kg,38.57,115.71
0LXQMR,2,Huevos 12pz,83.72,167.44
0LXQMR,2,Microondas,1958.43,3916.85
0OGOGJ,1,Refresco 2L,36.04,36.04
0OGOGJ,2,Leche 1L,25.41,50.83
0OGOGJ,3,Leche 1L,24.92,74.76
0OGOGJ,3,Sartén antiadherente,338.7,1016.11
0OGOGJ,3,Pan Baguette,28.87,86.62
0OGOGJ,3,Detergente 2kg,91.37,274.1
0OGOGJ,2,Pollo 1kg,120.6,241.21
0OGOGJ,1,Huevos 12pz,78.76,78.76
0OGOGJ,3,Sartén antiadherente,332.54,997.63
0OGOGJ,3,Leche 1L,25.55,76.65
0OGOGJ,2,Pan Baguette,30.52,61.03
0OGOGJ,2,Refresco 2L,35.72,71.43
0OGOGJ,1,Huevos 12pz,79.8,79.8
0OGOGJ,3,Licuadora,837.11,2511.32
0OGOGJ,3,Huevos 12pz,76.77,230.32
0OHEIR,2,Sartén antiadherente,341.63,683.25
0OHEIR,3,Detergente 2kg,87.83,263.5
0OHEIR,2,Arroz 1kg,38.42,76.84
0OHEIR,3,Refresco 2L,35.37,106.11
0OHEIR,1,Audífonos,1559.25,1559.25
0OHEIR,1,Audífonos,1504.9,1504.9
0OHEIR,1,Pan Baguette,30.54,30.54
0OHEIR,3,Arroz 1kg,40.38,121.14
0OHEIR,1,Huevos 12pz,76.25,76.25
0OHEIR,3,Pollo 1kg,114.37,343.12
0OU1FW,3,Refresco 2L,36.02,108.06
0OU1FW,3,Refresco 2L,35.38,106.13
0OU1FW,1,Licuadora,771.07,771.07
0OU1FW,1,Sartén antiadherente,366.0,366.0
0OU1FW,1,Microondas,2039.22,2039.22
0OU1FW,3,Leche 1L,25.68,77.05
0OU1FW,3,Huevos 12pz,77.56,232.67
0OU1FW,1,Arroz 1kg,40.35,40.35
0OU1FW,3,Sartén antiadherente,350.08,1050.24
0OU1FW,1,Pollo 1kg,118.27,118.27
0OUF97,2,Huevos 12pz,78.38,156.75
0OUF97,1,Refresco 2L,33.74,33.74
0OUF97,1,Licuadora,791.26,791.26
0OUF97,1,Pan Baguette,29.31,29.31
0OUF97,3,Leche 1L,25.59,76.76
0OUF97,3,Leche 1L,26.12,78.37
0OUF97,2,Licuadora,761.1,1522.2
0OUF97,1,Microondas,1968.91,1968.91
0OUF97,2,Pan Baguette,30.05,60.11
0OUF97,3,Sartén antiadherente,365.73,1097.2
0Q09LX,3,Pan Baguette,30.84,92.53
0Q09LX,1,Refresco 2L,36.49,36.49
0Q09LX,2,Microondas,1919.79,3839.58
0Q09LX,2,Sartén antiadherente,344.54,689.07
0Q09LX,1,Huevos 12pz,83.21,83.21
0Q09LX,1,Huevos 12pz,78.09,78.09
0Q09LX,1,Pan Baguette,30.51,30.51
0Q09LX,3,Pan Baguette,30.23,90.69
0Q09LX,1,Pollo 1kg,115.01,115.01
0Q09LX,3,Pan Baguette,30.57,91.71
0Q09LX,2,Sartén antiadherente,357.13,714.26
0Q5VYE,2,Sartén antiadherente,335.87,671.74
0Q5VYE,1,Refresco 2L,34.66,34.66
0Q5VYE,1,Sartén antiadherente,349.42,349.42
0Q5VYE,1,Huevos 12pz,76.33,76.33
0Q5VYE,2,Licuadora,836.87,1673.73
0Q5VYE,1,Huevos 12pz,79.41,79.41
0Q5VYE,1,Pollo 1kg,124.68,124.68
0Q5VYE,2,Arroz 1kg,39.52,79.05
0Q5VYE,1,Huevos 12pz,78.33,78.33
0SFZBF,2,Pollo 1kg,118.42,236.84
0SFZBF,1,Leche 1L,25.91,25.91
0SFZBF,2,Pollo 1kg,115.99,231.97
0SFZBF,1,Pan Baguette,29.12,29.12
0SFZBF,2,Detergente 2kg,88.31,176.62
0SFZBF,1,Sartén antiadherente,360.28,360.28
0SFZBF,3,Refresco 2L,35.36,106.08
0SFZBF,1,Sartén antiadherente,366.22,366.22
0SFZBF,2,Audífonos,1526.49,3052.99
0SFZBF,3,Pollo 1kg,123.61,370.83
0SRX9U,2,Microondas,1979.06,3958.12
0SRX9U,3,Pollo 1kg,118.14,354.43
0SRX9U,3,Pan Baguette,29.48,88.45
0SRX9U,1,Refresco 2L,35.43,35.43
0SRX9U,1,Licuadora,798.43,798.43
0SRX9U,1,Refresco 2L,36.7,36.7
0SRX9U,1,Leche 1L,24.79,24.79
0SRX9U,1,Licuadora,825.75,825.75
0SRX9U,2,Pollo 1kg,116.91,233.83
0SRX9U,2,Refresco 2L,36.37,72.73
0SRX9U,1,Leche 1L,25.61,25.61
0TDZIW,2,Sartén antiadherente,359.9,719.81
0TDZIW,4,Pan Baguette,30.87,123.49
0UIF8H,1,Pollo 1kg,121.36,121.36
0UIF8H,2,Arroz 1kg,41.04,82.08
0UIF8H,1,Sartén antiadherente,334.79,334.79
0UIF8H,3,Pan Baguette,29.02,87.06
0UIF8H,3,Pollo 1kg,117.44,352.32
0UIF8H,1,Arroz 1kg,41.73,41.73
0UIF8H,3,Detergente 2kg,87.64,262.92
0UIF8H,2,Audífonos,1551.59,3103.18
0UIF8H,1,Huevos 12pz,83.74,83.74
0UIF8H,2,Leche 1L,25.32,50.63
0UIF8H,1,Pollo 1kg,121.3,121.3
0UIF8H,1,Sartén antiadherente,349.57,349.57
0UIF8H,3,Leche 1L,24.37,73.11
0VCNR5,2,Arroz 1kg,40.67,81.33
0VCNR5,1,Audífonos,1562.71,1562.71
0VCNR5,2,Pan Baguette,28.82,57.65
0VCNR5,2,Sartén antiadherente,357.13,714.26
0VCNR5,1,Microondas,1972.82,1972.82
0VCNR5,1,Huevos 12pz,78.04,78.04
0VCNR5,2,Refresco 2L,33.52,67.04
0VCNR5,2,Leche 1L,23.92,47.85
0VCNR5,1,Sartén antiadherente,337.72,337.72
0VCNR5,1,Leche 1L,26.06,26.06
0VCNR5,1,Arroz 1kg,39.31,39.31
0VCNR5,1,Huevos 12pz,80.94,80.94
0VCNR5,1,Arroz 1kg,41.2,41.2
0VCNR5,2,Sartén antiadherente,339.59,679.17
0Y44KS,2,Pan Baguette,29.56,59.11
0Y44KS,1,Celular básico,4891.16,4891.16
0Y44KS,2,Pollo 1kg,116.37,232.73
0Y44KS,3,Celular básico,17134.6,51403.81
0Y44KS,3,Huevos 12pz,16.43,49.3
0Y44KS,3,Detergente 2kg,91.73,275.18
0Y44KS,5,Pollo 1kg,115.84,579.18
0ZU0V8,2,Arroz 1kg,39.7,79.4
0ZU0V8,3,Arroz 1kg,40.8,122.39
0ZU0V8,3,Detergente 2kg,94.36,283.07
0ZU0V8,1,Leche 1L,23.9,23.9
0ZU0V8,1,Leche 1L,25.13,25.13
0ZU0V8,3,Leche 1L,26.16,78.48
0ZU0V8,1,Sartén antiadherente,333.27,333.27
0ZU0V8,1,Audífonos,1478.32,1478.32
0ZU0V8,3,Pan Baguette,28.68,86.05
0ZU0V8,2,Detergente 2kg,89.26,178.53
0ZU0V8,3,Pollo 1kg,118.43,355.3
0ZU0V8,1,Audífonos,1551.97,1551.97
0ZU0V8,3,Detergente 2kg,91.28,273.85
0ZU0V8,1,Detergente 2kg,88.78,88.78
1020QU,2,Refresco 2L,36.49,72.98
1020QU,1,Audífonos,1446.26,1446.26
1020QU,3,Huevos 12pz,77.4,232.21
1020QU,2,Arroz 1kg,40.03,80.07
1020QU,3,Sartén antiadherente,335.35,1006.06
1020QU,1,Pollo 1kg,119.7,119.7
1020QU,2,Audífonos,1554.18,3108.36
1020QU,1,Pan Baguette,30.95,30.95
1020QU,3,Pan Baguette,29.72,89.16
1020QU,2,Pan Baguette,28.96,57.92
1020QU,1,Pan Baguette,31.45,31.45
10JKIK,2,Microondas,2043.43,4086.85
10JKIK,2,Refresco 2L,36.06,72.12
10JKIK,3,Leche 1L,24.42,73.25
10JKIK,3,Sartén antiadherente,349.59,1048.76
10JKIK,1,Pollo 1kg,119.15,119.15
10JKIK,3,Detergente 2kg,92.92,278.76
10JKIK,1,Detergente 2kg,92.52,92.52
10JKIK,3,Huevos 12pz,77.1,231.31
10JKIK,2,Huevos 12pz,76.92,153.85
10VTVG,2,Licuadora,772.36,1544.73
10VTVG,1,Pan Baguette,31.01,31.01
10VTVG,3,Licuadora,818.87,2456.61
10VTVG,3,Detergente 2kg,89.46,268.38
10VTVG,2,Pan Baguette,29.48,58.95
10VTVG,1,Detergente 2kg,85.57,85.57
10VTVG,3,Pan Baguette,30.17,90.5
10VTVG,1,Arroz 1kg,39.27,39.27
10VTVG,5,Refresco 2L,33.61,168.03
10VTVG,2,Huevos 12pz,82.38,164.75
136ZA5,2,Huevos 12pz,78.3,156.61
136ZA5,1,Detergente 2kg,88.04,88.04
136ZA5,1,Detergente 2kg,91.75,91.75
136ZA5,1,Licuadora,828.5,828.5
136ZA5,3,Leche 1L,25.88,77.63
136ZA5,2,Licuadora,789.25,1578.5
136ZA5,1,Audífonos,1556.36,1556.36
136ZA5,1,Pan Baguette,30.33,30.33
136ZA5,1,Sartén antiadherente,338.0,338.0
136ZA5,1,Pollo 1kg,122.84,122.84
136ZA5,2,Sartén antiadherente,345.16,690.32
136ZA5,3,Pollo 1kg,117.85,353.55
136ZA5,3,Pollo 1kg,118.07,354.22
143LZM,1,Pan Baguette,29.26,29.26
143LZM,1,Huevos 12pz,77.17,77.17
143LZM,3,Pollo 1kg,116.04,348.12
143LZM,1,Huevos 12pz,82.8,82.8
143LZM,1,Detergente 2kg,89.42,89.42
143LZM,1,Leche 1L,24.32,24.32
143LZM,2,Arroz 1kg,40.5,80.99
143LZM,3,Arroz 1kg,38.57,115.7
143LZM,1,Licuadora,827.23,827.23
143LZM,3,Audífonos,1460.43,4381.28
1490LX,3,Pollo 1kg,114.83,344.49
1490LX,2,Pan Baguette,28.62,57.24
1490LX,3,Detergente 2kg,93.83,281.49
1490LX,2,Huevos 12pz,79.21,158.41
1490LX,2,Huevos 12pz,77.52,155.04
1490LX,1,Leche 1L,25.82,25.82
1490LX,3,Refresco 2L,36.72,110.16
1490LX,1,Refresco 2L,33.99,33.99
1490LX,3,Huevos 12pz,79.04,237.11
1490LX,1,Huevos 12pz,78.6,78.6
1490LX,2,Audífonos,1549.26,3098.53
14AS4R,2,Arroz 1kg,39.62,79.24
14AS4R,2,Refresco 2L,33.95,67.91
14AS4R,3,Huevos 12pz,82.23,246.69
14AS4R,1,Refresco 2L,34.09,34.09
14AS4R,3,Pollo 1kg,122.77,368.32
14AS4R,3,Pan Baguette,29.03,87.08
14AS4R,3,Licuadora,820.69,2462.08
14AS4R,3,Huevos 12pz,78.88,236.63
14AS4R,2,Sartén antiadherente,336.99,673.98
14AS4R,2,Detergente 2kg,87.04,174.08
14AS4R,3,Pan Baguette,28.67,86.02
14AS4R,3,Refresco 2L,36.74,110.23
14AS4R,2,Leche 1L,25.85,51.7
15GJZ6,1,Sartén antiadherente,359.01,359.01
15GJZ6,3,Detergente 2kg,92.67,278.0
15GJZ6,2,Sartén antiadherente,361.68,723.36
15GJZ6,2,Huevos 12pz,79.19,158.37
15GJZ6,3,Sartén antiadherente,352.65,1057.95
15GJZ6,1,Arroz 1kg,39.35,39.35
15GJZ6,3,Licuadora,766.59,2299.78
15GJZ6,2,Huevos 12pz,77.98,155.95
15GJZ6,2,Arroz 1kg,39.5,79.0
15GJZ6,3,Pollo 1kg,115.21,345.62
15GJZ6,2,Pollo 1kg,123.58,247.16
15GJZ6,1,Refresco 2L,34.24,34.24
15GJZ6,3,Refresco 2L,36.68,110.05
17DDXY,1,Licuadora,831.69,831.69
17DDXY,1,Detergente 2kg,89.83,89.83
17DDXY,2,Pan Baguette,29.1,58.2
17DDXY,3,Pollo 1kg,122.07,366.2
17DDXY,3,Detergente 2kg,91.69,275.07
17DDXY,3,Pan Baguette,31.15,93.46
17DDXY,2,Huevos 12pz,82.56,165.12
17DDXY,2,Leche 1L,24.96,49.91
17DDXY,1,Microondas,1998.17,1998.17
17DDXY,1,Pan Baguette,29.7,29.7
17DDXY,1,Huevos 12pz,76.16,76.16
17DDXY,2,Licuadora,820.37,1640.74
17DDXY,2,Pan Baguette,29.36,58.71
17DDXY,2,Pollo 1kg,123.59,247.19
17DDXY,2,Pan Baguette,31.28,62.56
190OXL,1,Huevos 12pz,79.77,79.77
190OXL,3,Refresco 2L,36.36,109.08
190OXL,1,Arroz 1kg,39.46,39.46
190OXL,3,Pollo 1kg,114.55,343.65
190OXL,3,Pan Baguette,28.75,86.24
190OXL,2,Leche 1L,24.79,49.59
190OXL,2,Leche 1L,23.76,47.53
190OXL,1,Microondas,1936.59,1936.59
190OXL,2,Arroz 1kg,39.47,78.93
190OXL,3,Refresco 2L,35.07,105.22
190OXL,3,Pan Baguette,28.8,86.39
190OXL,3,Huevos 12pz,78.76,236.29
190OXL,2,Huevos 12pz,79.64,159.28
190OXL,1,Audífonos,1446.71,1446.71
190OXL,3,Sartén antiadherente,337.78,1013.34
195GJ4,3,Arroz 1kg,38.31,114.94
195GJ4,3,Pollo 1kg,121.15,363.44
195GJ4,6,Pan Baguette,29.29,175.73
195GJ4,1,Pollo 1kg,115.8,115.8
195GJ4,1,Licuadora,828.84,828.84
195GJ4,2,Detergente 2kg,88.3,176.6
195GJ4,2,Leche 1L,25.86,51.71
195GJ4,2,Sartén antiadherente,340.76,681.51
195GJ4,1,Audífonos,1500.13,1500.13
195GJ4,1,Pollo 1kg,118.41,118.41
195GJ4,1,Audífonos,1467.36,1467.36
19PLR8,1,Leche 1L,23.93,23.93
19PLR8,15,Celular básico,5016.98,75254.74
19PLR8,5,Pan Baguette,30.45,152.23
1C89VU,2,Pan Baguette,28.75,57.5
1C89VU,2,Huevos 12pz,79.52,159.04
1C89VU,3,Huevos 12pz,82.62,247.85
1C89VU,2,Pollo 1kg,121.58,243.16
1C89VU,1,Microondas,1949.86,1949.86
1C89VU,1,Huevos 12pz,78.44,78.44
1C89VU,1,Detergente 2kg,87.2,87.2
1C89VU,2,Pan Baguette,28.5,57.0
1C89VU,2,Arroz 1kg,40.15,80.31
1C89VU,1,Licuadora,799.56,799.56
1C89VU,3,Licuadora,779.0,2336.99
1C89VU,1,Detergente 2kg,86.99,86.99
1FPYEV,2,Sartén antiadherente,334.24,668.48
1FPYEV,1,Detergente 2kg,87.87,87.87
1FPYEV,1,Refresco 2L,34.25,34.25
1FPYEV,3,Arroz 1kg,39.94,119.83
1FPYEV,2,Pan Baguette,29.39,58.78
1FPYEV,2,Audífonos,1459.16,2918.32
1FPYEV,2,Huevos 12pz,78.56,157.12
1FPYEV,1,Detergente 2kg,87.86,87.86
1FPYEV,2,Sartén antiadherente,337.05,674.1
1FPYEV,6,Refresco 2L,35.18,211.1
1GERH6,3,Huevos 12pz,78.96,236.87
1GERH6,3,Refresco 2L,36.58,109.74
1GERH6,1,Leche 1L,23.94,23.94
1GERH6,3,Pan Baguette,29.96,89.89
1GERH6,1,Huevos 12pz,80.02,80.02
1GERH6,1,Microondas,1905.72,1905.72
1GERH6,1,Detergente 2kg,86.49,86.49
1GERH6,2,Huevos 12pz,80.47,160.94
1GERH6,2,Refresco 2L,33.42,66.84
1GERH6,3,Refresco 2L,34.56,103.67
1GERH6,3,Arroz 1kg,41.57,124.72
1GERH6,2,Licuadora,808.1,1616.21
1IDBPY,1,Licuadora,801.16,801.16
1IDBPY,2,Sartén antiadherente,367.3,734.61
1IDBPY,1,Sartén antiadherente,338.72,338.72
1IDBPY,3,Pollo 1kg,118.85,356.54
1IDBPY,1,Leche 1L,25.28,25.28
1IDBPY,2,Detergente 2kg,88.38,176.75
1IDBPY,2,Audífonos,1523.9,3047.8
1IDBPY,2,Pollo 1kg,121.23,242.47
1IDBPY,1,Sartén antiadherente,360.65,360.65
1IDBPY,1,Leche 1L,24.26,24.26
1KJIW3,3,Sartén antiadherente,333.64,1000.91
1KJIW3,1,Licuadora,787.98,787.98
1KJIW3,2,Detergente 2kg,88.27,176.54
1KJIW3,1,Microondas,1903.74,1903.74
1KJIW3,1,Celular básico,4801.37,4801.37
1KJIW3,3,Huevos 12pz,80.8,242.39
1KJIW3,14,Celular básico,4766.89,66736.41
1MDNWL,3,Audífonos,1560.54,4681.62
1MDNWL,1,Arroz 1kg,39.04,39.04
1MDNWL,3,Refresco 2L,33.77,101.3
1MDNWL,2,Leche 1L,23.91,47.82
1MDNWL,1,Refresco 2L,34.8,34.8
1MDNWL,2,Refresco 2L,34.55,69.1
1MDNWL,1,Pollo 1kg,120.88,120.88
1MDNWL,1,Pollo 1kg,115.27,115.27
1MDNWL,1,Pan Baguette,30.37,30.37
1MDNWL,2,Refresco 2L,35.74,71.48
1MDNWL,1,Huevos 12pz,78.32,78.32
1MH6XO,2,Sartén antiadherente,364.88,729.76
1MH6XO,2,Pan Baguette,30.88,61.76
1MH6XO,1,Leche 1L,25.3,25.3
1MH6XO,1,Sartén antiadherente,340.02,340.02
1MH6XO,1,Detergente 2kg,89.6,89.6
1MH6XO,3,Detergente 2kg,89.25,267.76
1MH6XO,1,Pan Baguette,29.79,29.79
1MH6XO,2,Huevos 12pz,77.22,154.44
1MH6XO,3,Licuadora,760.2,2280.6
1MH6XO,2,Sartén antiadherente,346.83,693.66
1MH6XO,1,Huevos 12pz,82.37,82.37
1MH6XO,3,Leche 1L,24.13,72.39
1MH6XO,2,Sartén antiadherente,364.34,728.68
1NA55B,3,Huevos 12pz,80.59,241.76
1NA55B,3,Pollo 1kg,121.15,363.45
1NA55B,1,Huevos 12pz,79.83,79.83
1NA55B,3,Detergente 2kg,91.91,275.74
1NA55B,3,Refresco 2L,35.15,105.46
1NA55B,1,Arroz 1kg,39.97,39.97
1NA55B,2,Pan Baguette,30.98,61.96
1NA55B,2,Arroz 1kg,41.75,83.51
1NA55B,2,Arroz 1kg,39.27,78.53
1NA55B,3,Audífonos,1493.84,4481.51
1PPY1I,2,Microondas,1950.56,3901.12
1PPY1I,0,Pollo 1kg,114.71,0.0
1PPY1I,17,Celular básico,21733.64,369471.83
1PPY1I,1,Licuadora,765.81,765.81
1PPY1I,5,Huevos 12pz,78.61,393.07
1PPY1I,5,Refresco 2L,35.84,179.22
